iter	Passed	Remaining
0	32	32441
1	63	31778
2	93	31204
3	128	31992
4	163	32504
5	194	32148
6	224	31848
7	256	31804
8	288	31760
9	319	31595
10	347	31285
11	377	31092
12	411	31270
13	442	31166
14	474	31148
15	503	30995
16	532	30763
17	565	30872
18	596	30787
19	627	30745
20	658	30676
21	689	30641
22	720	30589
23	750	30513
24	779	30399
25	813	30463
26	846	30492
27	875	30398
28	907	30384
29	938	30359
30	970	30322
31	1000	30267
32	1029	30164
33	1060	30124
34	1091	30096
35	1122	30056
36	1152	30009
37	1183	29968
38	1215	29951
39	1248	29961
40	1278	29911
41	1308	29838
42	1339	29820
43	1371	29794
44	1403	29783
45	1437	29819
46	1467	29752
47	1498	29725
48	1529	29681
49	1559	29635
50	1590	29588
51	1621	29563
52	1653	29542
53	1685	29535
54	1716	29493
55	1749	29486
56	1779	29444
57	1811	29414
58	1842	29379
59	1871	29321
60	1901	29267
61	1931	29215
62	1961	29177
63	1990	29105
64	2020	29066
65	2051	29032
66	2082	28994
67	2112	28953
68	2143	28925
69	2174	28887
70	2206	28869
71	2236	28830
72	2267	28793
73	2299	28771
74	2329	28728
75	2360	28703
76	2393	28694
77	2426	28684
78	2455	28621
79	2486	28598
80	2518	28574
81	2549	28541
82	2578	28482
83	2609	28459
84	2640	28428
85	2672	28404
86	2703	28368
87	2735	28346
88	2765	28304
89	2798	28293
90	2830	28275
91	2861	28240
92	2892	28208
93	2923	28175
94	2954	28147
95	2984	28107
96	3014	28060
97	3046	28043
98	3078	28018
99	3108	27980
100	3138	27939
101	3169	27907
102	3200	27875
103	3229	27821
104	3260	27793
105	3290	27749
106	3321	27717
107	3351	27683
108	3383	27654
109	3416	27644
110	3447	27612
111	3477	27572
112	3508	27540
113	3540	27514
114	3570	27476
115	3599	27433
116	3630	27399
117	3662	27379
118	3693	27345
119	3725	27321
120	3756	27290
121	3787	27254
122	3819	27235
123	3849	27197
124	3880	27163
125	3910	27123
126	3940	27090
127	3972	27062
128	4003	27029
129	4036	27014
130	4064	26961
131	4094	26926
132	4126	26901
133	4158	26877
134	4191	26859
135	4223	26832
136	4255	26808
137	4286	26773
138	4318	26747
139	4348	26710
140	4378	26675
141	4409	26642
142	4439	26607
143	4471	26580
144	4503	26555
145	4535	26527
146	4565	26495
147	4597	26464
148	4628	26433
149	4662	26419
150	4692	26385
151	4725	26363
152	4757	26337
153	4788	26303
154	4820	26277
155	4849	26237
156	4882	26213
157	4914	26190
158	4946	26163
159	4979	26139
160	5011	26114
161	5043	26086
162	5075	26060
