iter	Passed	Remaining
257	1206	3468
258	1210	3463
259	1215	3458
260	1218	3449
261	1222	3443
262	1226	3436
263	1233	3437
264	1237	3431
265	1241	3426
266	1245	3419
267	1249	3412
268	1254	3408
269	1260	3409
270	1264	3402
271	1268	3396
272	1273	3390
273	1277	3383
274	1280	3376
275	1284	3369
276	1289	3366
277	1293	3359
278	1297	3353
279	1301	3347
280	1306	3342
281	1310	3335
282	1313	3328
283	1318	3323
284	1322	3318
285	1327	3313
286	1331	3307
287	1335	3301
288	1339	3294
289	1342	3287
290	1346	3281
291	1351	3276
292	1355	3270
293	1359	3265
294	1363	3258
295	1367	3253
296	1372	3248
297	1376	3241
298	1379	3235
299	1383	3228
300	1387	3222
301	1391	3216
302	1395	3209
303	1398	3202
304	1402	3196
305	1406	3190
306	1410	3184
307	1414	3177
308	1418	3171
309	1422	3165
310	1426	3159
311	1430	3154
312	1434	3147
313	1437	3141
314	1441	3135
315	1445	3128
316	1449	3122
317	1453	3117
318	1457	3111
319	1461	3106
320	1465	3100
321	1469	3095
322	1474	3089
323	1479	3087
324	1485	3084
325	1488	3077
326	1492	3071
327	1496	3065
328	1500	3059
329	1503	3052
330	1507	3046
331	1510	3040
332	1514	3034
333	1519	3029
334	1523	3023
335	1527	3018
336	1531	3012
337	1536	3010
338	1541	3006
339	1545	3000
340	1550	2996
341	1554	2991
342	1558	2985
343	1561	2978
344	1566	2973
345	1571	2969
346	1574	2963
347	1578	2957
348	1582	2952
349	1587	2949
350	1591	2943
351	1595	2936
352	1599	2930
353	1603	2925
354	1606	2919
355	1624	2938
356	1628	2933
357	1632	2928
358	1636	2922
359	1640	2916
360	1644	2911
361	1649	2906
362	1653	2900
363	1656	2895
364	1661	2890
365	1665	2885
366	1669	2878
367	1673	2873
368	1677	2868
369	1681	2863
370	1685	2857
371	1688	2851
372	1693	2846
373	1698	2842
374	1702	2837
375	1706	2832
376	1710	2826
377	1715	2823
378	1719	2816
379	1724	2812
380	1727	2807
381	1732	2802
382	1735	2796
383	1740	2791
384	1744	2786
385	1749	2782
386	1752	2776
387	1756	2771
388	1767	2776
389	1790	2801
390	1795	2796
391	1806	2802
392	1811	2797
393	1815	2791
394	1819	2786
395	1822	2780
396	1826	2774
397	1830	2769
398	1834	2763
399	1838	2757
400	1842	2752
401	1846	2747
402	1850	2741
403	1854	2735
404	1857	2729
405	1862	2724
406	1865	2718
407	1869	2712
408	1873	2707
409	1877	2701
410	1880	2695
411	1884	2689
412	1888	2683
413	1892	2678
414	1896	2673
415	1900	2667
416	1904	2661
417	1907	2656
418	1911	2651
419	1915	2645
420	1919	2639
421	1923	2634
422	1927	2629
423	1931	2623
424	1935	2618
425	1939	2613
426	1943	2608
427	1947	2603
428	1951	2597
429	1955	2592
430	1960	2587
431	1964	2582
432	1969	2578
433	1973	2573
434	1977	2569
435	1982	2564
436	1986	2559
437	1990	2553
438	1995	2549
439	1999	2544
440	2003	2539
441	2008	2535
442	2012	2529
443	2015	2524
444	2019	2519
445	2023	2513
446	2029	2510
447	2033	2505
448	2038	2502
449	2044	2498
450	2053	2499
451	2058	2495
452	2062	2490
453	2066	2485
454	2069	2479
455	2074	2475
456	2078	2469
457	2082	2464
458	2086	2458
459	2090	2454
460	2095	2449
461	2099	2444
462	2102	2438
463	2107	2434
464	2111	2428
465	2114	2423
466	2118	2418
467	2122	2412
468	2126	2407
469	2130	2402
470	2134	2396
471	2138	2391
472	2142	2387
473	2146	2381
474	2150	2376
475	2154	2371
476	2157	2365
477	2161	2360
478	2165	2355
479	2169	2350
480	2174	2346
481	2177	2340
482	2181	2335
483	2185	2330
484	2189	2325
485	2194	2320
486	2197	2315
487	2201	2309
488	2205	2304
489	2209	2299
490	2212	2293
491	2215	2288
492	2220	2283
493	2225	2279
494	2229	2274
495	2233	2269
496	2237	2264
497	2241	2259
498	2244	2253
499	2249	2249
500	2252	2243
501	2256	2238
502	2260	2233
503	2263	2227
504	2267	2222
505	2271	2217
506	2275	2212
507	2279	2207
508	2283	2202
509	2286	2197
510	2291	2192
511	2295	2187
512	2299	2182
513	2303	2177
514	2308	2173
