iter	Passed	Remaining
0	4	4238
1	7	3844
2	14	4822
3	18	4587
4	23	4660
5	28	4724
6	32	4570
7	36	4516
8	41	4610
9	47	4701
10	53	4786
11	57	4752
12	63	4787
13	67	4752
14	72	4744
15	78	4829
16	82	4771
17	86	4738
18	92	4774
19	97	4772
20	102	4777
21	106	4715
22	111	4722
23	116	4731
24	121	4753
25	126	4750
26	130	4708
27	134	4676
28	138	4651
29	144	4685
30	149	4682
31	153	4640
32	157	4618
33	161	4597
34	177	4903
35	188	5057
36	193	5025
37	198	5025
38	202	4994
39	207	4990
40	212	4968
41	215	4926
42	219	4890
43	223	4856
44	226	4813
45	230	4779
46	233	4742
47	237	4714
48	241	4689
49	245	4664
50	249	4643
51	253	4623
52	257	4598
53	261	4572
54	265	4554
55	268	4529
56	273	4520
57	276	4494
58	280	4468
59	283	4446
60	287	4423
61	291	4406
62	295	4389
63	299	4376
64	303	4366
65	307	4358
66	312	4350
67	316	4336
68	320	4325
69	324	4317
70	328	4304
71	332	4290
72	337	4284
73	342	4283
74	346	4269
75	350	4261
76	354	4252
77	359	4246
78	364	4250
79	369	4246
80	374	4254
81	378	4242
82	384	4243
83	388	4240
84	392	4226
85	396	4217
86	400	4206
87	405	4203
88	409	4191
89	413	4182
90	417	4171
91	422	4165
92	426	4161
93	430	4152
94	437	4169
95	442	4165
96	448	4173
97	452	4166
98	457	4159
99	463	4171
100	468	4170
101	474	4174
102	498	4339
103	506	4360
104	514	4381
105	518	4375
106	523	4366
107	527	4359
108	532	4350
109	537	4350
110	541	4340
111	546	4329
112	551	4332
113	556	4321
114	560	4310
115	565	4305
116	571	4311
117	576	4308
118	582	4309
119	589	4319
120	592	4306
121	597	4298
122	606	4326
123	611	4317
124	615	4309
125	622	4320
126	627	4312
127	631	4301
128	636	4299
129	640	4288
130	645	4279
131	650	4275
132	654	4269
133	658	4254
134	663	4248
135	670	4259
136	678	4272
137	695	4347
138	701	4346
139	705	4333
140	709	4322
141	713	4310
142	718	4305
143	722	4295
144	726	4283
145	730	4271
146	735	4265
147	739	4254
148	742	4240
149	747	4235
150	752	4230
151	757	4223
152	762	4222
153	766	4213
154	771	4204
155	775	4193
156	778	4180
157	782	4169
158	788	4169
159	791	4156
160	795	4143
161	799	4133
162	802	4123
163	806	4110
164	810	4101
165	814	4094
166	819	4086
167	822	4073
168	826	4063
169	830	4054
170	834	4043
171	838	4038
172	842	4027
173	846	4017
174	850	4008
175	854	3999
176	858	3991
177	862	3981
178	866	3973
179	871	3969
180	875	3963
181	879	3953
182	883	3946
183	887	3935
184	891	3925
185	894	3916
186	898	3907
187	902	3895
188	905	3886
189	909	3876
190	913	3870
191	917	3860
192	921	3852
193	924	3842
194	928	3833
195	932	3825
196	936	3817
197	940	3807
198	943	3797
199	947	3789
200	951	3781
201	955	3774
202	959	3765
203	963	3758
204	966	3747
205	971	3743
206	974	3735
207	979	3730
208	985	3730
209	989	3724
210	993	3716
211	999	3713
212	1004	3710
213	1007	3700
214	1011	3694
215	1015	3684
216	1019	3679
217	1023	3672
218	1028	3667
219	1032	3659
220	1036	3652
221	1040	3644
222	1044	3639
223	1048	3632
224	1054	3632
225	1062	3639
226	1067	3633
227	1071	3627
228	1075	3621
229	1081	3619
230	1085	3612
231	1089	3605
232	1093	3600
233	1098	3596
234	1104	3596
235	1108	3589
236	1113	3584
237	1118	3579
238	1123	3575
239	1127	3569
240	1130	3561
241	1135	3557
242	1139	3550
243	1144	3545
244	1148	3538
245	1152	3531
246	1156	3524
247	1160	3520
248	1164	3512
249	1168	3505
250	1173	3501
251	1178	3498
252	1182	3491
253	1187	3487
254	1192	3485
255	1196	3477
256	1201	3474
