iter	RMSE
0	0.4232687033
1	0.3998513493
2	0.3790975136
3	0.3593332838
4	0.3413638188
5	0.3242226141
6	0.3086191244
7	0.2949486668
8	0.2814493839
9	0.2694438878
10	0.2589320595
11	0.2486590802
12	0.2392836378
13	0.2306546329
14	0.2230064347
15	0.215885347
16	0.2090651661
17	0.2031456123
18	0.197682407
19	0.1924601341
20	0.1879377146
21	0.1837776051
22	0.1799462124
23	0.1767857746
24	0.1734695046
25	0.1705808553
26	0.1680135668
27	0.1654844017
28	0.1632718106
29	0.1612221431
30	0.1592255434
31	0.1574091175
32	0.1557254623
33	0.1540527425
34	0.1523475256
35	0.1508183324
36	0.1495241574
37	0.1481104242
38	0.1468380113
39	0.1457447926
40	0.1446813332
41	0.1435794794
42	0.1425387732
43	0.1415665955
44	0.140716915
45	0.1398929719
46	0.1392100441
47	0.1385215739
48	0.137840297
49	0.1371751193
50	0.1364650242
51	0.1358813828
52	0.1352849333
53	0.1346939193
54	0.1341094386
55	0.1335929163
56	0.1331202463
57	0.1325202528
58	0.1321296452
59	0.1316581012
60	0.1312130771
61	0.1306948134
62	0.1303059117
63	0.1299545751
64	0.129445496
65	0.1288891821
66	0.1285207276
67	0.1282421035
68	0.1279863615
69	0.1277349568
70	0.1274062346
71	0.1271798118
72	0.1268876089
73	0.1266368566
74	0.1263126389
75	0.1259096952
76	0.1256026836
77	0.1252304294
78	0.1249679687
79	0.1246084745
80	0.1244264577
81	0.1241325623
82	0.1238196056
83	0.1236053119
84	0.1234543449
85	0.1231013707
86	0.1228203177
87	0.1226044875
88	0.1222888645
89	0.1221309018
90	0.1219049311
91	0.1215716616
92	0.1213111204
93	0.1211362678
94	0.1208300836
95	0.1206241989
96	0.1202780445
97	0.119986476
98	0.1197734725
99	0.1195617893
100	0.1193476529
101	0.1191154056
102	0.1188585753
103	0.1186444003
104	0.1184154936
105	0.1181990404
106	0.118033903
107	0.1178491436
108	0.1176314968
109	0.1174733606
110	0.1173087822
111	0.1171600857
112	0.1169454228
113	0.1167311865
114	0.1166337296
115	0.1164451391
116	0.1162777315
117	0.1160875234
118	0.1159029485
119	0.1157334328
120	0.1155248433
121	0.1153198823
122	0.1151625648
123	0.1149736761
124	0.114840038
125	0.1146304024
126	0.1144230745
127	0.1142956042
128	0.1140579058
129	0.1138085573
130	0.113656276
131	0.1135134622
132	0.113347931
133	0.1131523974
134	0.1129139901
135	0.1127238992
136	0.1125338088
137	0.1124171384
138	0.1121991751
139	0.1119292599
140	0.111733585
141	0.1115609602
142	0.1113524898
143	0.111164629
144	0.1110368676
145	0.1108127682
146	0.1106393216
147	0.1104611315
148	0.1103083504
149	0.1101556762
150	0.110044791
151	0.1099005964
152	0.1097078254
153	0.1095758636
154	0.1093693806
155	0.1091179842
156	0.108970162
157	0.1088380839
158	0.1086220416
159	0.1084705845
160	0.1083505992
161	0.108247174
162	0.1080423215
163	0.1078852112
164	0.1077072044
165	0.1075426462
166	0.1073183681
167	0.1071429093
168	0.1069916079
169	0.1067481416
170	0.1066030684
171	0.1064676811
172	0.1063332873
173	0.106166468
174	0.1060045711
175	0.105847028
176	0.1057002507
177	0.1055591395
178	0.105415665
179	0.1052886928
180	0.1050737303
181	0.1049292013
182	0.1047080455
183	0.1045288799
184	0.1043857232
185	0.1042410711
186	0.1040830637
187	0.1039106541
188	0.1037434067
189	0.1036166196
190	0.1034482599
191	0.1032699582
192	0.1030917992
193	0.1029757448
194	0.1028490547
195	0.1027243498
196	0.1025181962
197	0.1024132235
198	0.1022387479
199	0.1021088493
200	0.1019712735
201	0.1018546445
202	0.1017104929
203	0.10157879
204	0.1014829203
205	0.1013317613
206	0.1011810089
207	0.1010572058
208	0.1009182805
209	0.1007800776
210	0.1006372599
211	0.1005206448
212	0.1003238004
213	0.1001780023
214	0.1000624384
215	0.09992179421
216	0.09980080427
217	0.09961222253
218	0.09948990411
219	0.09937395834
220	0.09925142255
221	0.09907815281
222	0.09889932961
223	0.09877600382
224	0.0986551575
225	0.09851407059
226	0.09837408718
227	0.09825956142
228	0.09808045555
229	0.09792612801
230	0.09777555769
231	0.0977007892
232	0.09756207606
233	0.09742191724
234	0.09729609055
235	0.09715695394
236	0.09703593505
237	0.09689047396
238	0.09674422105
